year,title,category,nominee,artist,winner,normalized_category
2019,62nd Annual GRAMMY Awards  (2019),"Producer Of The Year, Non-Classical",Finneas,Finneas,True,"Producer Of The Year, Non-Classical"
2019,62nd Annual GRAMMY Awards  (2019),Best Remixed Recording,I Rise (Tracy Young's Pride Intro Radio Remix),Madonna,True,Remixed Recording
2019,62nd Annual GRAMMY Awards  (2019),Best Immersive Audio Album,LUX,"Anita Brevik, Trondheimsolistene & Nidarosdomens Jentekor",True,Immersive Audio Album
2019,62nd Annual GRAMMY Awards  (2019),"Producer Of The Year, Classical",Blanton Alspaugh,Blanton Alspaugh,True,"Producer Of The Year, Classical"
2019,62nd Annual GRAMMY Awards  (2019),Best Orchestral Performance,Norman: Sustain,Los Angeles Philharmonic,True,Orchestral Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Opera Recording,Picker: Fantastic Mr. Fox,Boston Modern Orchestra Project; Boston Children's Chorus,True,Opera Recording
2019,62nd Annual GRAMMY Awards  (2019),Best Classical Compendium,Meltzer: Songs And Structures,"Paul Appleby & Natalia Katyukova / Silas Brown & Harold Meltzer, producers",True,Classical Compendium
2019,62nd Annual GRAMMY Awards  (2019),Best Choral Performance,Duruflé: Complete Choral Works,Ken Cowan; Houston Chamber Choir,True,Choral Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Chamber Music/Small Ensemble Performance,Attacca quartet,Attacca quartet,True,Chamber Music/Small Ensemble Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Classical Instrumental Solo,Marsalis: Violin Concerto; Fiddle Dance Suite,Philadelphia Orchestra,True,Classical Instrumental Solo
2019,62nd Annual GRAMMY Awards  (2019),Best Classical Solo Vocal Album,Songplay,Steve Barnett & Lautaro Greco,True,Classical Solo Vocal Album
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Classical Composition,Higdon: Harp Concerto,"Yolanda Kondonassis, Ward Stare & The Rochester Philharmonic Orchestra",True,Contemporary Classical Composition
2019,62nd Annual GRAMMY Awards  (2019),Best Music Video,Old Town Road (Official Movie),Lil Nas X & Billy Ray Cyrus,True,Music Video
2019,62nd Annual GRAMMY Awards  (2019),Best Music Film,Homecoming,Beyoncé,True,Best Music Film
